,X,name,mass,eff,diet,order,family,habitat,fac,loco,genus,name2,mass2,eff2,name3,mass3,speed3
55,55,Callicebus_personatus,1.35,0.55524986,2,Primates,Cebidae,2,2,1,Callicebus,Callicebus_personatus,1.35,0.850312328,Callicebus_personatus,NA,NA
56,56,Callimico_goeldii,0.48,0.528473958,3,Primates,Callitrichidae,2,2,1,Callimico,NA,NA,NA,Callimico_goeldii,NA,NA
57,57,Callithrix_jacchus,0.292,0.528348645,3,Primates,Callitrichidae,2,2,1,Callithrix,NA,NA,NA,Callithrix_jacchus,NA,NA
58,58,Callosciurus_caniceps,0.257,0.647465288,3,Rodentia,Sciuridae,2,2,1,Callosciurus,Callosciurus_caniceps,0.257,0.606685861,Callosciurus_caniceps,NA,NA
59,59,Calomyscus_bailwardi,0.0204,0.621289735,2,Rodentia,Muridae,3,1,1,Calomyscus,NA,NA,NA,Calomyscus_bailwardi,NA,NA
60,60,Caluromys_derbianus,0.297,0.692171646,3,Didelphimorphia,Didelphidae,2,2,1,Caluromys,NA,NA,NA,Caluromys_derbianus,NA,NA
61,61,Camelus_bactrianus,690,0.927505879,2,Artiodactyla,Camelidae,3,3,3,Camelus,Camelus_bactrianus,690,0.84151782,Camelus_bactrianus,NA,NA
62,62,Camelus_dromedarius,601,0.93835264,2,Artiodactyla,Camelidae,3,3,3,Camelus,Camelus_dromedarius,402,0.919634772,Camelus dromedarius,525,31.5439
63,63,Canis_aureus,10.3452,0.855337846,1,Carnivora,Canidae,4,3,2,Canis,Canis_aureus,10.9999,0.824982872,Canis aureus,9.200117039,54.95969636
64,64,Canis_latrans,13.4063,0.858009679,1,Carnivora,Canidae,4,3,2,Canis,Canis_latrans,13.4063,0.848316284,Canis latrans,14.20049368,63.79065489
65,65,Canis_lupus,32.183,0.824005186,1,Carnivora,Canidae,4,3,2,Canis,Canis_lupus,16.8,0.844350088,Canis lupus,37.65,63.02948
66,66,Canis_mesomelas,8.5,0.867395133,1,Carnivora,Canidae,4,3,2,Canis,Canis_mesomelas,8.5,0.808147072,Canis_mesomelas,NA,NA
67,67,Canis_rufus,22.9832,0.865097243,1,Carnivora,Canidae,4,3,2,Canis,Canis_rufus,22.9832,0.852341338,Canis_rufus,NA,NA
68,68,Canis_simensis,10,0.855376183,1,Carnivora,Canidae,4,3,2,Canis,Canis_simensis,10,0.85596262,Canis_simensis,NA,NA
69,69,Capra_caucasica,55,0.876197952,2,Artiodactyla,Bovidae,5,3,3,Capra,Capra_caucasica,55,0.900655095,Capra_caucasica,NA,NA
70,70,Capra_falconeri,41,0.901651453,2,Artiodactyla,Bovidae,5,3,3,Capra,Capra_falconeri,41,0.887533985,Capra_falconeri,NA,NA
71,71,Capreolus_capreolus,22.5,0.816498559,2,Artiodactyla,Cervidae,4,3,3,Capreolus,Capreolus_capreolus,22.5,0.855540832,Capreolus capreolus,50,59.15838
72,72,Capromys_pilorides,5.65,0.685752474,3,Rodentia,Capromyidae,1,3,1,Capromys,Capromys_pilorides,5.65,0.84250027,Capromys_pilorides,NA,NA
73,73,Caracal_caracal,13.7499,0.807630744,1,Carnivora,Felidae,4,3,2,Caracal,Caracal_caracal,13.7499,0.80483632,Caracal caracal,6.6,80
74,74,Catopuma_temminckii,11.5,0.809192418,1,Carnivora,Felidae,1,3,2,Catopuma,Catopuma_temminckii,11.5,0.796327397,Catopuma_temminckii,NA,NA
75,75,Cavia_aperea,0.549,0.621194748,2,Rodentia,Caviidae,4,1,1,Cavia,NA,NA,NA,Cavia_aperea,NA,NA
76,76,Cebus_capucinus,2.7333,0.821063238,3,Primates,Cebidae,2,2,1,Cebus,Cebus_capucinus,2.7333,0.721194772,Cebus_capucinus,NA,NA
77,77,Cephalophus_adersi,9.25,0.870232747,2,Artiodactyla,Bovidae,1,3,3,Cephalophus,Cephalophus_adersi,9.25,0.86026837,Cephalophus_adersi,NA,NA
78,78,Cephalophus_monticola,6.25,0.825634586,2,Artiodactyla,Bovidae,1,3,3,Cephalophus,NA,NA,NA,Cephalophus_monticola,NA,NA
79,79,Ceratotherium_simum,2949.9863,0.821568289,2,Perissodactyla,Rhinocerotidae,4,3,3,Ceratotherium,Ceratotherium_simum,2949.9863,0.880931942,Ceratotherium simum,2500,24.67916
80,80,Cercartetus_concinnus,0.013,0.609832226,2,Diprotodontia,Burramyidae,2,2,1,Cercartetus,Cercartetus_concinnus,0.013,0.881710149,Cercartetus_concinnus,NA,NA
81,81,Cercocebus_galeritus,7.835,0.840757696,2,Primates,Cercopithecidae,2,2,1,Cercocebus,Cercocebus_galeritus,7.835,0.873243539,Cercocebus_galeritus,NA,NA
82,82,Cercopithecus_petaurista,2.775,0.730284331,3,Primates,Cercopithecidae,2,2,1,Cercopithecus,Cercopithecus_petaurista,2.775,0.768694806,Cercopithecus_petaurista,NA,NA
83,83,Cervus_elaphus,165.01585,0.863812506,2,Artiodactyla,Cervidae,4,3,3,Cervus,Cervus_elaphus,156.25,0.87650381,Cervus elaphus,300,70.9848
84,84,Cervus_unicolor,177.508325,0.895088118,2,Artiodactyla,Cervidae,4,3,3,Cervus,Cervus_unicolor,211.62,0.899476742,Cervus_unicolor,NA,NA
85,85,Chaetodipus_baileyi,0.0263,0.551186503,3,Rodentia,Heteromyidae,3,1,1,Chaetodipus,NA,NA,NA,Chaetodipus baileyi,0.039101046,12.09200991
86,86,Chaetodipus_fallax,0.0187,0.557828501,2,Rodentia,Heteromyidae,3,1,1,Chaetodipus,NA,NA,NA,Chaetodipus fallax,0.01800057,12.45045852
87,87,Chaetomys_subspinosus,1.3,0.775818906,2,Rodentia,Echimyidae,2,2,1,Chaetomys,NA,NA,NA,Chaetomys_subspinosus,NA,NA
88,88,Chaetophractus_nationi,2.15,0.698600234,1,Xenarthra,Dasypodidae,5,1,1,Chaetophractus,NA,NA,NA,Chaetophractus_nationi,NA,NA
89,89,Cheirogaleus_major,0.45,0.630235203,3,Primates,Cheirogaleidae,2,2,1,Cheirogaleus,NA,NA,NA,Cheirogaleus_major,NA,NA
90,90,Chinchilla_brevicaudata,0.5,0.582610689,3,Rodentia,Chinchillidae,5,3,1,Chinchilla,NA,NA,NA,Chinchilla_brevicaudata,NA,NA
91,91,Chionomys_nivalis,0.054,0.636093576,2,Rodentia,Muridae,5,1,1,Chionomys,NA,NA,NA,Chionomys_nivalis,NA,NA
92,92,Chironectes_minimus,0.946,0.677724366,1,Didelphimorphia,Didelphidae,1,2,1,Chironectes,Chironectes_minimus,0.946,0.661264723,Chironectes_minimus,NA,NA
93,93,Chiropodomys_gliroides,0.0215,0.592669435,2,Rodentia,Muridae,2,2,1,Chiropodomys,NA,NA,NA,Chiropodomys_gliroides,NA,NA
94,94,Chiropotes_satanas,3,0.688921093,3,Primates,Cebidae,2,2,1,Chiropotes,Chiropotes_satanas,3,0.780052156,Chiropotes_satanas,NA,NA
95,95,Chlorocebus_aethiops,4.155,0.867514761,3,Primates,Cercopithecidae,2,2,1,Chlorocebus,Chlorocebus_aethiops,4.155,0.854719636,Chlorocebus_aethiops,NA,NA
96,96,Choloepus_didactylus,5.16,0.806193623,2,Xenarthra,Megalonychidae,2,2,1,Choloepus,NA,NA,NA,Choloepus_didactylus,NA,NA
97,97,Chrysocyon_brachyurus,23.2498,0.907769119,1,Carnivora,Canidae,4,3,2,Chrysocyon,Chrysocyon_brachyurus,23.2498,0.904339723,Chrysocyon_brachyurus,NA,NA
98,98,Clethrionomys_glareolus,0.0212,0.715923479,2,Rodentia,Muridae,1,2,1,Clethrionomys,NA,NA,NA,Clethrionomys_glareolus,NA,NA
99,99,Coendou_bicolor,4.05,0.731917795,2,Rodentia,Erethizontidae,2,2,1,Coendou,Coendou_bicolor,4.05,0.77533051,Coendou_bicolor,NA,NA
100,100,Colobus_guereza,10.2,0.735653639,3,Primates,Cercopithecidae,2,2,1,Colobus,Colobus_guereza,10.2,0.684858513,Colobus_guereza,NA,NA
101,101,Conepatus_leuconotus,3.5,0.817522139,1,Carnivora,Mustelidae,4,3,1,Conepatus,NA,NA,NA,Conepatus_leuconotus,NA,NA
102,102,Conepatus_semistriatus,1.2,0.804898499,1,Carnivora,Mustelidae,4,3,1,Conepatus,Conepatus_semistriatus,1.2,0.826877031,Conepatus_semistriatus,NA,NA
103,103,Connochaetes_gnou,179.999,0.872353903,2,Artiodactyla,Bovidae,4,3,3,Connochaetes,Connochaetes_gnou,179.999,0.91706142,Connochaetes_gnou,NA,NA
104,104,Connochaetes_taurinus,179.999,0.884817056,2,Artiodactyla,Bovidae,4,3,3,Connochaetes,Connochaetes_taurinus,179.999,0.914753842,Connochaetes_taurinus,NA,NA
105,105,Cricetomys_emini,1.3,0.660325561,2,Rodentia,Muridae,4,1,1,Cricetomys,Cricetomys_emini,1.3,0.598430531,Cricetomys_emini,NA,NA
106,106,Cricetus_cricetus,0.51,0.665881427,2,Rodentia,Muridae,4,1,1,Cricetus,NA,NA,NA,Cricetus_cricetus,NA,NA
107,107,Crocidura_cyanea,0.0091,0.561215815,1,Insectivora,Soricidae,1,1,1,Crocidura,NA,NA,NA,Crocidura_cyanea,NA,NA
108,108,Crocidura_russula,0.0082,0.53440288,1,Insectivora,Soricidae,1,1,1,Crocidura,NA,NA,NA,Crocidura_russula,NA,NA
109,109,Crocuta_crocuta,62.9999,0.847000272,1,Carnivora,Hyaenidae,4,3,2,Crocuta,Crocuta_crocuta,62.9999,0.863034957,Crocuta crocuta,58.5,63.9964
110,110,Crossarchus_obscurus,1.25,0.686457264,1,Carnivora,Herpestidae,4,3,1,Crossarchus,Crossarchus_obscurus,1.25,0.668837949,Crossarchus_obscurus,NA,NA
111,111,Cryptoprocta_ferox,9.5,0.824626072,1,Carnivora,Viverridae,2,2,2,Cryptoprocta,Cryptoprocta_ferox,9.5,0.714155148,Cryptoprocta_ferox,NA,NA
112,112,Ctenodactylus_gundi,0.289,0.555437987,2,Rodentia,Ctenodactylidae,3,3,1,Ctenodactylus,NA,NA,NA,Ctenodactylus_gundi,NA,NA
113,113,Cyclopes_didactylus,0.3295,0.812770551,3,Xenarthra,Myrmecophagidae,2,2,1,Cyclopes,NA,NA,NA,Cyclopes_didactylus,NA,NA
114,114,Cynictis_penicillata,0.836,0.733390404,1,Carnivora,Herpestidae,4,3,2,Cynictis,Cynictis_penicillata,0.836,0.628375033,Cynictis_penicillata,NA,NA
115,115,Cynomys_gunnisoni,0.925,0.617874291,2,Rodentia,Sciuridae,5,1,1,Cynomys,NA,NA,NA,Cynomys_gunnisoni,NA,NA
116,116,Dactylopsila_trivirgata,0.41355,0.671438168,1,Diprotodontia,Petauridae,2,2,1,Dactylopsila,NA,NA,NA,Dactylopsila_trivirgata,NA,NA
117,117,Dama_dama,56.25,0.85922453,2,Artiodactyla,Cervidae,4,3,3,Dama,Dama_dama,56.25,0.881407729,Dama dama,67.5,64.19854
118,118,Damaliscus_lunatus,136.0003,0.876405786,2,Artiodactyla,Bovidae,4,3,3,Damaliscus,Damaliscus_lunatus,136.0003,0.920804541,Damaliscus lunatus,130,69.12242
119,119,Dasycercus_byrnei,0.1038,0.516575268,2,Dasyuromorphia,Dasyuridae,3,2,1,Dasycercus,NA,NA,NA,Dasycercus_byrnei,NA,NA
120,120,Dasyprocta_azarae,2.31,0.688514193,2,Rodentia,Dasyproctidae,1,3,1,Dasyprocta,Dasyprocta_azarae,2.31,0.794442466,Dasyprocta_azarae,NA,NA
121,121,Dasyprocta_mexicana,5,0.723546605,2,Rodentia,Dasyproctidae,1,1,1,Dasyprocta,Dasyprocta_mexicana,5,0.567630726,Dasyprocta_mexicana,NA,NA
122,122,Dasypus_kappleri,9.5,0.794105991,1,Xenarthra,Dasypodidae,1,1,1,Dasypus,NA,NA,NA,Dasypus_kappleri,NA,NA
123,123,Dasypus_sabanicola,1.15,0.731580275,1,Xenarthra,Dasypodidae,4,1,1,Dasypus,NA,NA,NA,Dasypus_sabanicola,NA,NA
124,124,Dasyurus_albopunctatus,0.637,0.725137819,1,Dasyuromorphia,Dasyuridae,1,2,1,Dasyurus,Dasyurus_albopunctatus,0.637,0.740940078,Dasyurus_albopunctatus,NA,NA
125,125,Dasyurus_geoffroii,1.1,0.679941528,1,Dasyuromorphia,Dasyuridae,1,2,1,Dasyurus,Dasyurus_geoffroii,1.1,0.637714543,Dasyurus_geoffroii,NA,NA
126,126,Dasyurus_maculatus,5.5,0.713106987,1,Dasyuromorphia,Dasyuridae,1,2,1,Dasyurus,Dasyurus_maculatus,5.5,0.705913701,Dasyurus_maculatus,NA,NA
127,127,Daubentonia_madagascariensis,2.5,0.774209236,3,Primates,Daubentoniidae,2,2,1,Daubentonia,NA,NA,NA,Daubentonia_madagascariensis,NA,NA
128,128,Dendrohyrax_arboreus,2.95,0.613171734,2,Hyracoidea,Procaviidae,2,2,1,Dendrohyrax,NA,NA,NA,Dendrohyrax_arboreus,NA,NA
129,129,Dendrolagus_bennettianus,10.95,0.548585633,2,Diprotodontia,Macropodidae,2,2,1,Dendrolagus,NA,NA,NA,Dendrolagus_bennettianus,NA,NA
130,130,Dendrolagus_matschiei,6.96,0.628825904,2,Diprotodontia,Macropodidae,2,2,1,Dendrolagus,Dendrolagus_matschiei,6.96,0.760483744,Dendrolagus_matschiei,NA,NA
131,131,Dendromus_mesomelas,0.0102,0.574422776,3,Rodentia,Muridae,2,2,1,Dendromus,NA,NA,NA,Dendromus_mesomelas,NA,NA
132,132,Desmana_moschata,0.383,0.54924181,1,Insectivora,Talpidae,1,3,1,Desmana,NA,NA,NA,Desmana_moschata,NA,NA
133,133,Diceros_bicornis,1180.5109,0.882036234,2,Perissodactyla,Rhinocerotidae,4,3,2,Diceros,Diceros_bicornis,1180.5109,0.921194416,Diceros bicornis,1300,44.4024
134,134,Didelphis_marsupialis,1.0912,0.632840416,3,Didelphimorphia,Didelphidae,2,2,1,Didelphis,Didelphis_marsupialis,1.0912,0.81724715,Didelphis marsupialis,4.999999996,7.400000005
135,135,Dinomys_branickii,12.5,0.674090817,2,Rodentia,Dinomyidae,1,3,1,Dinomys,Dinomys_branickii,12.5,0.716536095,Dinomys_branickii,NA,NA
136,136,Diplomesodon_pulchellum,0.011,0.548717881,1,Insectivora,Soricidae,3,3,1,Diplomesodon,NA,NA,NA,Diplomesodon_pulchellum,NA,NA
137,137,Dipodomys_deserti,0.1045,0.603371415,2,Rodentia,Heteromyidae,3,1,1,Dipodomys,Dipodomys_deserti,0.1045,0.54990864,Dipodomys deserti,0.097594403,14.62589746
138,138,Dipodomys_merriami,0.042,0.586923427,2,Rodentia,Heteromyidae,3,1,1,Dipodomys,NA,NA,NA,Dipodomys merriami,0.035,31.612264
139,139,Dipodomys_microps,0.0546,0.564353352,2,Rodentia,Heteromyidae,3,1,1,Dipodomys,NA,NA,NA,Dipodomys microps,0.056000515,20.6236244
140,140,Dipodomys_ordii,0.0604,0.552409321,2,Rodentia,Heteromyidae,3,1,1,Dipodomys,Dipodomys_ordii,0.0604,0.608837261,Dipodomys ordii,0.047798465,13.66161338
141,141,Dipus_sagitta,0.089,0.553200391,3,Rodentia,Dipodidae,3,3,1,Dipus,Dipus_sagitta,0.089,0.491811861,Dipus_sagitta,NA,NA
142,142,Dolichotis_patagonum,8,0.841667677,2,Rodentia,Caviidae,4,3,2,Dolichotis,Dolichotis_patagonum,8,0.857357437,Dolichotis_patagonum,NA,NA
143,143,Dolichotis_salinicola,1.6,0.706258219,2,Rodentia,Caviidae,4,3,2,Dolichotis,Dolichotis_salinicola,1.6,0.732884921,Dolichotis_salinicola,NA,NA
144,144,Dorcatragus_megalotis,10.2499,0.89462578,2,Artiodactyla,Bovidae,3,3,3,Dorcatragus,Dorcatragus_megalotis,10.2499,0.835609378,Dorcatragus_megalotis,NA,NA
145,145,Dorcopsis_hageni,5.5,0.690250252,2,Diprotodontia,Macropodidae,1,3,1,Dorcopsis,Dorcopsis_hageni,5.5,0.71942485,Dorcopsis_hageni,NA,NA
146,146,Dremomys_lokriah,0.227,0.624917791,2,Rodentia,Sciuridae,2,2,1,Dremomys,NA,NA,NA,Dremomys_lokriah,NA,NA
147,147,Dromiciops_gliroides,0.0223,0.69745743,1,Microbiotheria,Microbiotheriidae,2,2,1,Dromiciops,NA,NA,NA,Dromiciops_gliroides,NA,NA
148,148,Dryomys_nitedula,0.0336,0.581447829,3,Rodentia,Myoxidae,2,2,1,Dryomys,NA,NA,NA,Dryomys_nitedula,NA,NA
149,149,Echinops_telfairi,0.13275,0.691903075,1,Insectivora,Tenrecidae,1,2,1,Echinops,NA,NA,NA,Echinops_telfairi,NA,NA
150,150,Echinosorex_gymnura,0.957,0.678545138,1,Insectivora,Erinaceidae,1,3,1,Echinosorex,Echinosorex_gymnura,0.957,0.713261813,Echinosorex_gymnura,NA,NA
151,151,Echymipera_kalubu,0.78216667,0.615915444,2,Peramelemorphia,Peroryctidae,1,3,1,Echymipera,NA,NA,NA,Echymipera_kalubu,NA,NA
152,152,Eira_barbara,3.91,0.746189833,1,Carnivora,Mustelidae,2,2,1,Eira,Eira_barbara,3.91,0.733953513,Eira_barbara,NA,NA
153,153,Elephantulus_rupestris,0.0664,0.599926582,3,Macroscelidea,Macroscelididae,3,3,1,Elephantulus,Elephantulus_rupestris,0.0664,0.606384018,Elephantulus rupestris,0.06,23.6
154,154,Elephas_maximus,2915.04,0.976481511,2,Proboscidea,Elephantidae,4,3,2,Elephas,Elephas_maximus,2720,0.842110025,Elephas maximus,4000,25.6378
155,155,Eliomys_melanurus,0.1225,0.574334053,3,Rodentia,Myoxidae,2,2,1,Eliomys,NA,NA,NA,Eliomys_melanurus,NA,NA
156,156,Equus_burchellii,276,0.904759047,2,Perissodactyla,Equidae,4,3,3,Equus,Equus_burchellii,276,0.917083045,Equus_burchellii,NA,NA
157,157,Equus_caballus,250,0.907595817,2,Perissodactyla,Equidae,4,3,3,Equus,Equus_caballus,250,0.942010174,Equus caballus,375,69.02
158,158,Equus_hemionus,230,0.907356289,2,Perissodactyla,Equidae,4,3,3,Equus,NA,NA,NA,Equus hemionus,230,69.02
159,159,Equus_zebra,286.9987,0.892566307,2,Perissodactyla,Equidae,4,3,3,Equus,Equus_zebra,286.9987,0.935557478,Equus zebra,300,63.0905
160,160,Erethizon_dorsatum,7.0853,0.787902473,2,Rodentia,Erethizontidae,1,3,1,Erethizon,NA,NA,NA,Erethizon_dorsatum,NA,NA
161,161,Erinaceus_europaeus,0.771,0.605221445,1,Insectivora,Erinaceidae,4,3,1,Erinaceus,NA,NA,NA,Erinaceus_europaeus,NA,NA
162,162,Erythrocebus_patas,7.2699,0.896611718,3,Primates,Cercopithecidae,2,2,1,Erythrocebus,Erythrocebus_patas,7.2699,0.81390109,Erythrocebus_patas,NA,NA
163,163,Eulemur_fulvus,3.15,0.686175578,2,Primates,Lemuridae,2,2,1,Eulemur,NA,NA,NA,Eulemur_fulvus,NA,NA
164,164,Euphractus_sexcinctus,4.7829,0.752408458,3,Xenarthra,Dasypodidae,1,1,1,Euphractus,Euphractus_sexcinctus,4.7829,0.792854279,Euphractus_sexcinctus,NA,NA
165,165,Felis_margarita,2.525,0.71794341,1,Carnivora,Felidae,3,3,2,Felis,Felis_margarita,2.525,0.682782254,Felis_margarita,NA,NA
166,166,Felis_nigripes,1.3,0.707263704,1,Carnivora,Felidae,4,3,2,Felis,Felis_nigripes,1.3,0.725679843,Felis_nigripes,NA,NA
167,167,Felis_silvestris,5.1,0.770505121,1,Carnivora,Felidae,4,3,2,Felis,Felis_silvestris,4.65,0.739784951,Felis_silvestris,NA,NA
168,168,Fossa_fossana,1.5,0.768283184,1,Carnivora,Viverridae,1,3,2,Fossa,Fossa_fossana,1.5,0.782163031,Fossa_fossana,NA,NA
169,169,Funambulus_pennantii,0.2,0.628478697,3,Rodentia,Sciuridae,2,2,1,Funambulus,Funambulus_pennantii,0.2,0.564193132,Funambulus_pennantii,NA,NA
170,170,Galago_gallarum,0.25,0.526402096,3,Primates,Galagonidae,2,2,1,Galago,Galago_gallarum,0.25,0.409431353,Galago_gallarum,NA,NA
171,171,Galerella_flavescens,0.75,0.652340766,1,Carnivora,Herpestidae,4,3,2,Galerella,Galerella_flavescens,0.75,0.672802559,Galerella_flavescens,NA,NA
172,172,Galidia_elegans,0.8,0.634510081,1,Carnivora,Herpestidae,1,3,2,Galidia,Galidia_elegans,0.8,0.685894836,Galidia_elegans,NA,NA
173,173,Gazella_dama,72.9995,0.891440909,2,Artiodactyla,Bovidae,3,3,3,Gazella,Gazella_dama,72.9995,0.716464899,Gazella_dama,NA,NA
174,174,Gazella_granti,54.9997,0.894101125,2,Artiodactyla,Bovidae,4,3,3,Gazella,Gazella_granti,54.9997,0.906705182,Gazella granti,62.25,79.80786
175,175,Gazella_saudiya,16,0.878348121,2,Artiodactyla,Bovidae,3,3,3,Gazella,Gazella_saudiya,16,0.880325316,Gazella_saudiya,NA,NA
176,176,Gazella_subgutturosa,28.5,0.873020376,2,Artiodactyla,Bovidae,3,3,3,Gazella,Gazella_subgutturosa,28.5,0.892336259,Gazella subgutturosa,30,95.79554
177,177,Gazella_thomsonii,20.4998,0.874337684,2,Artiodactyla,Bovidae,4,3,3,Gazella,Gazella_thomsonii,20.4998,0.902958009,Gazella thomsonii,20.25,79.861968
178,178,Genetta_genetta,1.8,0.776165541,1,Carnivora,Viverridae,2,2,2,Genetta,Genetta_genetta,2,0.785020868,Genetta_genetta,NA,NA
179,179,Geocapromys_brownii,1.5,0.613671409,2,Rodentia,Capromyidae,1,3,1,Geocapromys,Geocapromys_brownii,1.5,0.828859143,Geocapromys_brownii,NA,NA
180,180,Geogale_aurita,0.00685,0.619605,1,Insectivora,Tenrecidae,1,3,1,Geogale,Geogale_aurita,0.0067,0.673329333,Geogale_aurita,NA,NA
181,181,Gerbillus_gerbillus,0.025,0.560151623,3,Rodentia,Muridae,3,1,1,Gerbillus,NA,NA,NA,Gerbillus_gerbillus,NA,NA
182,182,Giraffa_camelopardalis,899.9948,0.915322878,2,Artiodactyla,Giraffidae,4,3,3,Giraffa,Giraffa_camelopardalis,899.9948,0.955323308,Giraffa_camelopardalis,NA,NA
183,183,Gorilla_gorilla,124.251,0.887832775,2,Primates,Hominidae,1,3,1,Gorilla,Gorilla_gorilla,124.251,0.72419561,Gorilla gorilla,127,31.5376
184,184,Gracilinanus_agilis,0.022,0.626211724,3,Didelphimorphia,Didelphidae,2,2,1,Gracilinanus,NA,NA,NA,Gracilinanus_agilis,NA,NA
185,185,Graphiurus_ocularis,0.0688,0.656316137,3,Rodentia,Myoxidae,2,2,1,Graphiurus,NA,NA,NA,Graphiurus_ocularis,NA,NA
186,186,Gulo_gulo,17.01255,0.771300507,1,Carnivora,Mustelidae,5,3,1,Gulo,Gulo_gulo,19.5,0.778534807,Gulo_gulo,NA,NA
187,187,Gymnobelideus_leadbeateri,0.127,0.532529967,3,Diprotodontia,Petauridae,2,2,1,Gymnobelideus,NA,NA,NA,Gymnobelideus_leadbeateri,NA,NA
188,188,Hapalemur_griseus,1.4,0.509686994,2,Primates,Lemuridae,2,2,1,Hapalemur,NA,NA,NA,Hapalemur_griseus,NA,NA
189,189,Helarctos_malayanus,46.5,0.788029946,1,Carnivora,Ursidae,1,3,1,Helarctos,Helarctos_malayanus,46,0.823318478,Helarctos_malayanus,NA,NA
190,190,Hemibelideus_lemuroides,0.9525,0.442204762,2,Diprotodontia,Psuedocheiridae,2,2,1,Hemibelideus,NA,NA,NA,Hemibelideus_lemuroides,NA,NA
191,191,Hemicentetes_semispinosus,0.1359,0.727194884,1,Insectivora,Tenrecidae,1,3,1,Hemicentetes,NA,NA,NA,Hemicentetes_semispinosus,NA,NA
192,192,Hemiechinus_aethiopicus,0.188,0.64896868,1,Insectivora,Erinaceidae,3,3,2,Hemiechinus,NA,NA,NA,Hemiechinus_aethiopicus,NA,NA
193,193,Hemigalus_derbyanus,2.116875,0.746766034,1,Carnivora,Viverridae,2,2,2,Hemigalus,Hemigalus_derbyanus,1.5,0.757809587,Hemigalus_derbyanus,NA,NA
194,194,Herpailurus_yaguarondi,7.8749,0.802091021,1,Carnivora,Felidae,1,3,2,Herpailurus,Herpailurus_yaguarondi,8.9999,0.770044512,Herpailurus_yaguarondi,NA,NA
195,195,Herpestes_brachyurus,2,0.74531797,1,Carnivora,Herpestidae,1,3,2,Herpestes,Herpestes_brachyurus,2,0.819907684,Herpestes_brachyurus,NA,NA
196,196,Herpestes_edwardsii,1.3242,0.647237885,1,Carnivora,Herpestidae,1,3,2,Herpestes,Herpestes_edwardsii,1.3242,0.637971457,Herpestes_edwardsii,NA,NA
197,197,Herpestes_smithii,1.78195,0.676849242,1,Carnivora,Herpestidae,1,3,2,Herpestes,Herpestes_smithii,1.8614,0.737911306,Herpestes_smithii,NA,NA
198,198,Heterohyrax_brucei,2.625,0.598729486,2,Hyracoidea,Procaviidae,5,3,1,Heterohyrax,NA,NA,NA,Heterohyrax_brucei,NA,NA
199,199,Heteromys_desmarestianus,0.0725,0.588739768,2,Rodentia,Heteromyidae,1,1,1,Heteromys,NA,NA,NA,Heteromys_desmarestianus,NA,NA
200,200,Hexaprotodon_liberiensis,235.0012,0.81898317,2,Artiodactyla,Hippopotamidae,1,3,3,Hexaprotodon,Hexaprotodon_liberiensis,235.0012,0.872906347,Hexaprotodon_liberiensis,NA,NA
201,201,Hippopotamus_amphibius,1417.49,0.871329319,2,Artiodactyla,Hippopotamidae,4,3,3,Hippopotamus,Hippopotamus_amphibius,1417.49,0.894189013,Hippopotamus amphibius,3800,24.6788
202,202,Hippotragus_equinus,269.9977,0.905250059,2,Artiodactyla,Bovidae,4,3,3,Hippotragus,NA,NA,NA,Hippotragus equinus,238.25,55.2916
203,203,Hippotragus_niger,227.4993,0.921730551,2,Artiodactyla,Bovidae,4,3,3,Hippotragus,Hippotragus_niger,227.4993,0.807827443,Hippotragus_niger,NA,NA
204,204,Homo_sapiens,70,0.896259193,3,Primates,Homoinidae,4,3,1,Homo,Homo_sapiens,70,0.842551822,Homo sapiens,70,39.41264
205,205,Hoplomys_gymnurus,0.24,0.666586627,3,Rodentia,Echimyidae,1,3,1,Hoplomys,NA,NA,NA,Hoplomys_gymnurus,NA,NA
206,206,Hyaena_hyaena,41.7051,0.871534462,1,Carnivora,Hyaenidae,4,3,2,Hyaena,Hyaena_hyaena,46.0002,0.879873983,Hyaena hyaena,35.9,49.23574
207,207,Hydrochaeris_hydrochaeris,62.4496,0.830684715,2,Rodentia,Hydrochaeridae,4,1,2,Hydrochaeris,Hydrochaeris_hydrochaeris,62.4496,0.869345581,Hydrochaeris_hydrochaeris,NA,NA
208,208,Hydromys_chrysogaster,0.47975,0.703373986,1,Rodentia,Muridae,1,1,1,Hydromys,NA,NA,NA,Hydromys_chrysogaster,NA,NA
209,209,Hylobates_agilis,5.65,0.759475799,3,Primates,Hylobatidae,2,2,1,Hylobates,NA,NA,NA,Hylobates_agilis,NA,NA
210,210,Hylobates_leucogenys,7.32,0.625137426,3,Primates,Hylobatidae,2,2,1,Hylobates,NA,NA,NA,Hylobates_leucogenys,NA,NA
211,211,Hylomys_suillus,0.064,0.584311448,1,Insectivora,Erinaceidae,1,3,1,Hylomys,NA,NA,NA,Hylomys_suillus,NA,NA
212,212,Hypogeomys_antimena,1.25,0.659786634,3,Rodentia,Muridae,1,1,1,Hypogeomys,Hypogeomys_antimena,1.25,0.668680551,Hypogeomys_antimena,NA,NA
213,213,Hypsiprymnodon_moschatus,0.52,0.611534537,3,Diprotodontia,Potoroidae,1,3,1,Hypsiprymnodon,Hypsiprymnodon_moschatus,0.52,0.67089599,Hypsiprymnodon_moschatus,NA,NA
214,214,Hystrix_africaeaustralis,14.936,0.766079652,2,Rodentia,Hystricidae,4,1,1,Hystrix,NA,NA,NA,Hystrix_africaeaustralis,NA,NA
