,X,name,mass,eff,diet,order,family,habitat,fac,loco,genus,name2,mass2,eff2,name3,mass3,speed3
440,440,Spermophilus_saturatus,0.22,0.548600763,3,Rodentia,Sciuridae,5,3,1,Spermophilus,Spermophilus_saturatus,0.22,0.621174903,Spermophilus saturatus,0.22201202,21.53387944
441,441,Spermophilus_tereticaudus,0.1565,0.553225231,3,Rodentia,Sciuridae,3,1,1,Spermophilus,Spermophilus_tereticaudus,0.1565,0.573817405,Spermophilus tereticaudus,0.112595023,14.78011905
442,442,Spermophilus_tridecemlineatus,0.1317,0.575512319,3,Rodentia,Sciuridae,4,1,1,Spermophilus,NA,NA,NA,Spermophilus tridecemlineatus,0.124998559,11.81966618
443,443,Spermophilus_undulatus,0.84,0.573145153,3,Rodentia,Sciuridae,4,1,1,Spermophilus,Spermophilus_undulatus,0.84,0.611450607,Spermophilus undulatus,0.600022451,19.63006272
444,444,Spilocuscus_maculatus,6.4,0.737613354,2,Diprotodontia,Phalangeridae,2,2,1,Spilocuscus,Spilocuscus_maculatus,6.4,0.919994772,Spilocuscus_maculatus,NA,NA
445,445,Spilogale_pygmaea,0.235,0.754610037,1,Carnivora,Mustelidae,1,3,1,Spilogale,Spilogale_pygmaea,0.235,0.730671233,Spilogale_pygmaea,NA,NA
446,446,Strigocuscus_gymnotis,2.705,0.726137713,3,Diprotodontia,Phalangeridae,2,2,1,Strigocuscus,Strigocuscus_gymnotis,2.705,0.891926876,Strigocuscus_gymnotis,NA,NA
447,447,Suncus_etruscus,0.0021,0.595900136,1,Insectivora,Soricidae,2,2,1,Suncus,Suncus_etruscus,0.0018,0.610453205,Suncus_etruscus,NA,NA
448,448,Suncus_infinitesimus,0.0044,0.585065312,1,Insectivora,Soricidae,4,3,1,Suncus,NA,NA,NA,Suncus_infinitesimus,NA,NA
449,449,Suncus_murinus,0.06042,0.586622859,1,Insectivora,Soricidae,1,1,1,Suncus,NA,NA,NA,Suncus_murinus,NA,NA
450,450,Sus_barbatus,96.6667,0.924011161,3,Artiodactyla,Suidae,1,3,3,Sus,Sus_barbatus,96.6667,0.91140062,Sus_barbatus,NA,NA
451,451,Sus_scrofa,96.1181,0.899363645,3,Artiodactyla,Suidae,1,3,3,Sus,NA,NA,NA,Sus_scrofa,NA,NA
452,452,Sylvilagus_aquaticus,2.1358,0.650414316,2,Lagomorpha,Leporidae,4,3,2,Sylvilagus,Sylvilagus_aquaticus,2.1358,0.595810492,Sylvilagus_aquaticus,NA,NA
453,453,Sylvilagus_floridanus,1.1728,0.634362492,2,Lagomorpha,Leporidae,4,3,2,Sylvilagus,Sylvilagus_floridanus,1.1728,0.612110698,Sylvilagus_floridanus,NA,NA
454,454,Synaptomys_cooperi,0.0319,0.586169116,2,Rodentia,Muridae,4,1,1,Synaptomys,NA,NA,NA,Synaptomys_cooperi,NA,NA
455,455,Syncerus_caffer,580.0027,0.891340604,2,Artiodactyla,Bovidae,4,3,3,Syncerus,Syncerus_caffer,580.0027,0.924028071,Syncerus caffer,685,56.22
456,456,Tachyglossus_aculeatus,3.025,0.760133042,1,Monotremata,Tachyglossidae,1,1,2,Tachyglossus,NA,NA,NA,Tachyglossus_aculeatus,NA,NA
457,457,Tamandua_mexicana,4.21,0.814119802,1,Xenarthra,Myrmecophagidae,2,2,2,Tamandua,Tamandua_mexicana,4.21,0.838918084,Tamandua_mexicana,NA,NA
458,458,Tamias_amoenus,0.0505,0.560733024,2,Rodentia,Sciuridae,2,2,1,Tamias,Tamias_amoenus,0.0505,0.529296101,Tamias amoenus,0.051001751,18.85871885
459,459,Tamias_minimus,0.1353,0.507299353,2,Rodentia,Sciuridae,2,2,1,Tamias,Tamias_minimus,0.1353,0.608684643,Tamias minimus,0.034534062,16.17806144
460,460,Tamias_striatus,0.1119,0.533743398,2,Rodentia,Sciuridae,2,2,1,Tamias,Tamias_striatus,0.1119,0.510687434,Tamias striatus,0.1,16.68227007
461,461,Tamiasciurus_hudsonicus,0.2012,0.54300775,2,Rodentia,Sciuridae,2,2,1,Tamiasciurus,Tamiasciurus_hudsonicus,0.2012,0.46484274,Tamiasciurus hudsonicus,0.21999617,14.74597778
462,462,Tapirus_bairdii,299.9991,0.886504692,2,Perissodactyla,Tapiridae,1,3,2,Tapirus,Tapirus_bairdii,299.9991,0.888013067,Tapirus bairdii,250,39.39392
463,463,Tarsipes_rostratus,0.009,0.582788961,2,Diprotodontia,Tarsipedidae,2,2,1,Tarsipes,NA,NA,NA,Tarsipes_rostratus,NA,NA
464,464,Tarsius_bancanus,0.09425,0.379983237,1,Primates,Tarsiidae,2,2,1,Tarsius,Tarsius_bancanus,0.078,0.348466618,Tarsius_bancanus,NA,NA
465,465,Tarsius_dianae,0.107,0.406061663,1,Primates,Tarsiidae,2,2,1,Tarsius,NA,NA,NA,Tarsius_dianae,NA,NA
466,466,Tatera_indica,0.1663,0.622219774,2,Rodentia,Muridae,3,1,1,Tatera,NA,NA,NA,Tatera_indica,NA,NA
467,467,Taurotragus_oryx,569.9936,0.882527325,2,Artiodactyla,Bovidae,4,3,3,Taurotragus,Taurotragus_oryx,569.9936,0.930162572,Taurotragus oryx,705.5,69.0848
468,468,Tayassu_pecari,32.2337,0.881194099,3,Artiodactyla,Tayassuidae,4,3,3,Tayassu,Tayassu_pecari,32.2337,0.895441999,Tayassu_pecari,NA,NA
469,469,Tenrec_ecaudatus,0.684,0.694336224,1,Insectivora,Tenrecidae,1,3,2,Tenrec,Tenrec_ecaudatus,0.5,0.631549071,Tenrec_ecaudatus,NA,NA
470,470,Thallomys_nigricauda,0.1247,0.557638231,2,Rodentia,Muridae,2,2,1,Thallomys,NA,NA,NA,Thallomys_nigricauda,NA,NA
471,471,Thrichomys_apereoides,0.275,0.566541748,2,Rodentia,Echimyidae,4,1,1,Thrichomys,NA,NA,NA,Thrichomys_apereoides,NA,NA
472,472,Thylamys_elegans,0.0289,0.579455867,1,Didelphimorphia,Didelphidae,3,2,1,Thylamys,Thylamys_elegans,0.0289,0.67168617,Thylamys_elegans,NA,NA
473,473,Thylogale_stigmatica,4.6,0.718295374,2,Diprotodontia,Macropodidae,1,3,1,Thylogale,Thylogale_stigmatica,4.6,0.741476712,Thylogale_stigmatica,NA,NA
474,474,Tolypeutes_tricinctus,1.487,0.737255773,1,Xenarthra,Dasypodidae,3,1,2,Tolypeutes,Tolypeutes_tricinctus,1.487,0.700526388,Tolypeutes_tricinctus,NA,NA
475,475,Trachypithecus_obscurus,6.42,0.728292025,2,Primates,Cercopithecidae,2,2,1,Trachypithecus,Trachypithecus_obscurus,6.42,0.809314032,Trachypithecus_obscurus,NA,NA
476,476,Tragelaphus_eurycerus,329.0031,0.924693584,2,Artiodactyla,Bovidae,4,3,3,Tragelaphus,Tragelaphus_eurycerus,329.0031,0.930427157,Tragelaphus_eurycerus,NA,NA
477,477,Tragelaphus_strepsiceros,213.501,0.929596386,2,Artiodactyla,Bovidae,4,3,3,Tragelaphus,Tragelaphus_strepsiceros,213.501,0.920536797,Tragelaphus_strepsiceros,NA,NA
478,478,Tragulus_javanicus,2.775,0.725986966,2,Artiodactyla,Tragulidae,1,3,3,Tragulus,Tragulus_javanicus,3.3,0.718309163,Tragulus_javanicus,NA,NA
479,479,Trichosurus_vulpecula,2.65,0.638196588,3,Diprotodontia,Phalangeridae,2,2,1,Trichosurus,Trichosurus_vulpecula,2.65,0.765905257,Trichosurus_vulpecula,NA,NA
480,480,Tupaia_belangeri,0.2,0.645276589,3,Scandentia,Tupaiidae,2,2,1,Tupaia,Tupaia_belangeri,0.2,0.694049393,Tupaia_belangeri,NA,NA
481,481,Uncia_uncia,44.167,0.774360541,1,Carnivora,Felidae,5,3,2,Uncia,Uncia_uncia,44.167,0.761413054,Uncia_uncia,NA,NA
482,482,Urocyon_cinereoargenteus,3.8337,0.821627233,1,Carnivora,Canidae,1,3,2,Urocyon,Urocyon_cinereoargenteus,3.8337,0.816922542,Urocyon cinereoargenteus,4.133328437,62.80857239
483,483,Urogale_everetti,0.35,0.732633166,3,Scandentia,Tupaiidae,1,2,2,Urogale,Urogale_everetti,0.35,0.841663461,Urogale_everetti,NA,NA
484,484,Uromys_caudimaculatus,0.60675,0.525656695,3,Rodentia,Muridae,1,2,1,Uromys,Uromys_caudimaculatus,0.646,0.571814223,Uromys caudimaculatus,1.180024444,16.16513208
485,485,Ursus_americanus,99.9494,0.881305417,1,Carnivora,Ursidae,4,3,1,Ursus,Ursus_americanus,99.9494,0.864508966,Ursus americanus,114.2,47.3145
486,486,Ursus_arctos,139.4408,0.852948231,1,Carnivora,Ursidae,1,3,1,Ursus,Ursus_arctos,206,0.783171793,Ursus arctos,275.65,47.328
487,487,Ursus_maritimus,388.75015,0.802723522,1,Carnivora,Ursidae,3,3,1,Ursus,Ursus_maritimus,425,0.823232185,Ursus maritimus,332.5,39.458
488,488,Varecia_variegata,3.85,0.807280313,2,Primates,Lemuridae,2,2,1,Varecia,Varecia_variegata,3.85,0.743146787,Varecia_variegata,NA,NA
489,489,Vicugna_vicugna,47.4996,0.924656464,2,Artiodactyla,Camelidae,5,3,3,Vicugna,Vicugna_vicugna,47.4996,0.93463047,Vicugna_vicugna,NA,NA
490,490,Viverra_megaspila,9.25,0.86304953,1,Carnivora,Viverridae,1,3,2,Viverra,Viverra_megaspila,9.25,0.884004028,Viverra_megaspila,NA,NA
491,491,Vombatus_ursinus,26,0.773621951,2,Diprotodontia,Vombatidae,4,1,1,Vombatus,Vombatus_ursinus,26,0.737441465,Vombatus_ursinus,NA,NA
492,492,Vulpes_cana,1,0.811495751,1,Carnivora,Canidae,5,3,2,Vulpes,Vulpes_cana,1,0.773497341,Vulpes_cana,NA,NA
493,493,Vulpes_pallida,2.8,0.759364979,1,Carnivora,Canidae,3,3,2,Vulpes,Vulpes_pallida,2.8,0.739861796,Vulpes_pallida,NA,NA
494,494,Vulpes_vulpes,5.60375,0.832319428,1,Carnivora,Canidae,4,3,2,Vulpes,Vulpes_vulpes,6,0.848626677,Vulpes_vulpes,NA,NA
495,495,Wyulda_squamicaudata,1.675,0.659638705,2,Diprotodontia,Phalangeridae,2,2,1,Wyulda,Wyulda_squamicaudata,1.675,0.817597441,Wyulda_squamicaudata,NA,NA
496,496,Xeromys_myoides,0.041,0.648049039,1,Rodentia,Muridae,4,1,1,Xeromys,Xeromys_myoides,0.041,0.44487799,Xeromys_myoides,NA,NA
497,497,Xerus_princeps,0.95,0.707252641,3,Rodentia,Sciuridae,2,2,1,Xerus,Xerus_princeps,0.95,0.589003401,Xerus_princeps,NA,NA
498,498,Zaedyus_pichiy,1.38,0.701793531,3,Xenarthra,Dasypodidae,3,1,2,Zaedyus,NA,NA,NA,Zaedyus_pichiy,NA,NA
499,499,Zaglossus_bruijni,10.3,0.857596045,1,Monotremata,Tachyglossidae,5,1,2,Zaglossus,NA,NA,NA,Zaglossus_bruijni,NA,NA
500,500,Zapus_hudsonius,0.0171,0.50399104,1,Rodentia,Dipodidae,4,3,1,Zapus,NA,NA,NA,Zapus_hudsonius,NA,NA
501,501,Zapus_trinotatus,0.0275,0.529067008,1,Rodentia,Dipodidae,4,3,1,Zapus,NA,NA,NA,Zapus trinotatus,0.028498528,13.83862497
502,502,Zyzomys_argurus,0.036,0.52702473,3,Rodentia,Muridae,3,3,1,Zyzomys,NA,NA,NA,Zyzomys_argurus,NA,NA
